PERGUNTAS,RESPOSTAS
"Ilirio José Rech
","Doutor em Contabilidade e Controladoria pela FEA/USP (2012) com tese defendia na área de mensuração de ativos biológicos. Mestre em Contabilidade pela Universidade de Brasília (UnB – 2006). Graduado e pós Graduado em Ciências Contábeis pela Universidade Federal de Mato Grosso (1993, 2002). Professor Associado da Universidade Federal de Goiás – UFG e professor permanente do Programa de Mestrado em Ciências Contábeis da UFG e do programa de Mestrado e Doutorado da FACIC/UFU. Possui experiência na área de consultoria em atividades agropecuárias. Participa em projetos de avaliação de empresas na equipe da Funape/UFG. Coordena curso de pós graduação e pesquisas de iniciação científica financiadas pela FAPEMIG, FUNAPE, UFU e UFG nas áreas de avaliação de empresas e de adoção das IFRS aplicadas a empresas rurais, além de atuar no ensino de pós graduação nas áreas de Contabilidade Societária, Análise financeira e econômica, Planejamento e Contabilidade Internacional.
"
"Ricardo Limongi
","Professor de Marketing e Inteligência Artificial na UFG. Doutor em Administração na linha de Estratégias de Marketing pela FGV/SP, com estágio doutoral na Cornell University. Pós-doutorado em Economia Comportamental aplicada ao Marketing pela UnB e Pós-doutorado em Machine Learning aplicado ao Marketing pela UFRGS. Professor no Programa de Pós-Graduação em Administração na UFG e UFU. Professor Visitante na Universidade Santiago do Chile (USACH). Editor Chefe da Brazilian Administration Review (BAR).
"
"Regis Puppim
","Bacharel em Design de Moda (UFG 2010) Especialista em Design Estratégico/Fashion Design (Istituto Europeo di Design 2012). Mestre em Arte e Cultura Visuap (UFG 2014) Doutor em Engenharia Têxtil (UMinho/Portugal 2022). Professor do quadro efetivo do IFG – Campus Aparecida de Goiânia. Professor convidado em Pós-graduações na área de Moda (UNIDERP-ANHANGUERA/ Estácio de Sá). Pesquisador, Consultor, Palestrante e Autor nas áreas de Moda, Design, Sustentabilidade, Têxtil e Educação. Membro titular do Conselho Nacional de Políticas para a Cultura (CNPC/MinC) setorial de Moda (2015-2018). Prêmio Menção Honrosa no International Design Awards 2019 (IDA 2019) na categoria Materials and Textiles.
"
"Márcio de Carvalho Pires
","Graduação em Agronomia pela Escola Superior de Ciências Agrárias de Rio Verde (2001). Mestrado em Produção Vegetal pela Universidade de Brasília (01/2007). Doutorado em Agronomia (Produção Sustentável), pelo Programa de Pós-Graduação da Faculdade de Agronomia e Medicina Veterinária da UnB (01/2012). Pós-Doutorado em Melhoramento de fruteiras, Capes/UnB (2015). Atualmente é Professor Adjunto da Universidade de Brasília (UnB) onde ministra aulas nas seguintes disciplinas: Horticultura Geral, Fruticultura Tropical e Fruticultura Subtropical na Graduação e Propagação de Plantas Frutíferas; Citricultura e Viticultura na Pós-Graduação. Atual Coordenador do curso de Agronomia da Faculdade de Agronomia e Medicina Veterinária da FAV/UnB. Responsável pelo Laboratório de Fruticultura, orientação e condução de experimentos, ensaios laboratoriais, bolsistas e atividades de campo do Setor de Fruticultura EEB-FAV/UnB. Tem experiência na área de Agronomia, com ênfase em Melhoramento Vegetal e Fitotecnia, atuando principalmente nos seguintes temas: Fitossanidade, Propagação de plantas, Fisiologia de frutíferas, Produção e Pós-colheita. Atuou como consultor técnico pela United Nations Educational, Scientific and Cultural Organization – UNESCO e pela Food and Agriculture Organization of United Nations – FAO, ambos com foco no desenvolvimento de atividades de pesquisa.
"
"Luiz Carlos da Cunha
","Graduado em Farmácia pela Universidade Federal de Goiás (1989). Mestre em Fármacos e Medicamentos Química e Biologia (1993). Doutor em Fármacos e Medicamentos pela Faculdade de Ciências Farmacêuticas de São Paulo (1998). Professor de Toxicologia e Farmacocinética. Orientador de mestrado e doutorado do PPGCF-UFG, com linha de pesquisa na área de Farmacocinética, envolvendo métodos em cromatografia e espectrometria de massas. Ex-Coordenador do PPGCF e Membro da Sociedade Brasileira de Toxicologia. Diretor da Faculdade de Farmácia UFG. Linhas de Pesquisa: Toxicidade Experimental de produtos naturais e sintéticos; Farmacocinética Experimental e Clínica de produtos naturais e sintéticos; Toxicocinética."
"Elton Clementino da Silva
","Graduação em Farmácia-Bioquímica pela Universidade Federal de Ouro Preto (1988).Mestrado (1994) e Doutorado (1998) em Fármaco e Medicamentos pela Universidade de São Paulo, São Paulo/SP. Cursos de aperfeiçoamento em Cosmetologia na UNESP Araraquara, Universidade de Buenos Aires e ABC, Associação Brasileira de Cosmetologia. Experiência em ensino superior na área de Farmácia. Sócio da Associação Brasileira de Cosmetologia e da IFSCC (International Federation of Societies of Cosmetic Chemists). Ex-coordenador do curso de Farmácia e atualmente é docente das disciplinas de Cosmetologia e Farmacotécnica do curso de Farmácia da Universidade de Brasília, campus de Ceilândia. Atua em desenvolvimento de cosméticos e medicamentos. Na área Cosmética desenvolve trabalhos no aproveitamento de resíduos de produtos agrícolas assim como na pesquisa e desenvolvimento de cosméticos com utilizando produtos da nossa biodiversidade com ênfase em fitocosméticos, nanopartículas e produtos provenientes da viticultura.
"
"Alverne Passos Barbosa
","Sócio proprietário da Vinícola Serra das Galés (Paraúna – Goiás). Conhecimentos na área de viticultura, enoturismo, enogastronomia e nos processos de vinificação."
"Marina Carmello Cunha
","Graduada em Criação e Desenvolvimento de Produto em Moda e Bacharel em Negócios da Moda (UAM/2010). Mestre em Arquitetura e Urbanismo (PPGAU-FAUFBA/2014). Doutora em Ciências Sociais (PPGCS-UNICAMP/2020). Pós Doutora pelo PPG-Design (UAM/2023). Atuou profissionalmente principalmente na área de figurino para cinema e teatro. Possui interesse por pesquisas relacionadas aos processos de desenvolvimento de produto têxtil em contextos diversos, processos artesanais e experimentais com tecidos, tingimento, modelagem, artes gráficas, ilustração, vídeo-arte, fotografia e artesanato. Atualmente é professora no curso de Design de Moda da Universidade Federal de Goiás e colabora com projetos de desenvolvimento de produtos na ONG Coletivo Tem Sentimento.
"
"Aysha Jussara Ivonilde Carrim 
","Formação em Ciências Biológicas (PUCCAMP e administração UNI ARAGUAIA). Mestrado em Microbiologia Ambiental e doutora em Ciências Ambientais (UFG). Especialização e MBA em Marketing Estratégico, Marketing Digital, Gestão de Pessoas e Coaching, Perícia Criminal. Atualmente lotada na Engenharia de Alimentos (UFG).
"
"Danielle Guimarães A. Diniz
","Graduada em Farmácia pela Universidade Federal de Goiás em 1999, concluiu mestrado em química em 2003 pela mesma instituição. Doutora em Ciências da Saúde pela UNB. Professora associada da UFG  da disciplina de Farmacotécnica. Atua na área de Farmácia, com ênfase em Nanotecnologia Farmacêutica e Sistemas de Liberação de Fármacos, Cromatografia e Estabilidade."
"Derblai Casaroli
","Graduação em Agronomia e Mestrado em Produção Vegetal pela Universidade Federal de Santa Maria (UFSM). Doutorado em Agronomia na área de Física do Ambiente Agrícola pela Escola Superior de Agricultura “Luiz de Queiroz”- Universidade de São Paulo (ESALQ/USP). Dois Pós-Doutorados, um realizado no departamento de Engenharia de Biossistemas da ESALQ/USP, com estágio na Universidade de Wageningen, Holanda, e outro realizado junto ao Centro de Energia Nuclear na Agricultura (CENA/USP). Atualmente é Professor Associado na Escola de Agronomia da Universidade Federal de Goiás (EA/UFG), Campus Goiânia-GO, ministrando aulas nas disciplinas de Climatologia Agrícola, para o curso de Agronomia, e de Climatologia Aplicada ao Planejamento Agrícola, no Programa de Pós-Graduação em Agronomia da UFG. Bolsista de Produtividade em Pesquisa do CNPq (nível 2).
"
"Roberto José de Freitas
","Graduação em Agronomia pela Universidade Federal de Goiás (1985). Especialização em fruticultura pela Universidade Federal de Lavras (1998), e em Solos e Meio ambiente pela Universidade federal de Lavras (1999). Mestrado em Agronomia pela Universidade Federal de Goiás (2006). Doutorado pela Universidade Federal de Goiás (2020). Atualmente é professor titular da Universidade Estadual de Goiás, consultor nas culturas de soja, milho, sorgo, girassol, pastagens e uva na Região Sudeste de Goiás. Desenvolve pesquisas na área de fertilidade de solo, tratos culturais e sistemas de cultivo, com ênfase em sistemas de Integração Lavoura-Pecuária-Florestas e viticultura tropical. Consultor em integração Lavoura-Pecuária em Goiás e no estado do Tocantins.
"
"Diogo Pedrosa Correa da Silva
",Graduado em Engenharia Agronômica. Mestre e Doutor em Agronomia/Fisiologia Vegetal. Especialista em Viticultura e Enologia e Sommelier profissional.
"Larissa Matuda Macedo
","Graduada em Farmácia pela Universidade Federal de Goiás (2009). Mestre (2014) e Doutora (2018) em Ciências Biológicas pela Universidade Federal de Goiás. Atualmente, é Diretora de Pós-graduação Lato Sensu da Pró-Reitoria de Pós-Graduação da UFG. Membro da Câmara de Pesquisa e Pós-Graduação (CPPG-CEPEC-UFG), Comissão de Ética no Uso de Animais (CEUA/UFG), do Comitê de Integridade Acadêmica (CIA-UFG), e da Comissão Própria de Avaliação Institucional (CPA-UFG). Possui experiência em metodologia científica, fisiologia cardiovascular, biologia celular e molecular, e diagnóstico molecular de Covid-19. Atua nas áreas de bioengenharia e farmacologia celular, com ênfase em peptídeos bioativos e células-tronco mesenquimais.
"
"Eric de Souza Gil
","Graduação em Farmácia e Bioquímica pela Universidade de São Paulo (1994). Mestrado em Fármacos e Medicamentos pela Universidade de São Paulo (1997). Doutorado em Química Analítica pela Universidade Estadual de Campinas (2000). Atualmente é professor associado da Universidade Federal de Goiás e coordenador do programa de pós-graduação em ciências farmacêuticas (2019-2021). Tem experiência na área de Eletroanalítica e Controle Físico-Químico de Qualidade de Medicamentos, atuando principalmente nos seguintes temas: Produção e controle de qualidade de medicamentos, fitoterápicos e cosméticos; Desenvolvimento de sensores eletroquímicos para análise farmacêutica e ambiental; Análise térmica estudos de estabilidade;Bio inorgânica e bio eletroanalítica; Remediação eletroquímica.
"
"Carolina Chaves Soares
","Doutora em Direito pela Universidade Estácio de Sá. Graduada e Mestre em Direito pela Universidade Federal de Goiás. Professora da Universidade Federal de Goiás e da Pontifícia Universidade Católica de Goiás, nas disciplinas Direito Processual Civil e Estágio de Prática Jurídica (graduação e pós graduação). Membro da Associação Brasileira Elas no Processo e Advogada.
"
"Jacson Rodrigues Barbosa
","Bacharel em Ciências da Computação pela Universidade Federal de Goiás (2007). Mestre em Ciências de Computação pelo Instituto de Informática da Universidade Federal de Goiás (2011). Doutor em Ciências de Computação pelo Instituto de Ciências Matemáticas e de Computação da Universidade de São Paulo (2021). Atualmente é docente no Instituto de Informática (INF) da Universidade Federal de Goiás (UFG). Tem experiência na área de Ciência da Computação, com ênfase em Engenharia de Software e Inteligência Artificial, atuando principalmente nos temas de Mineração de Repositórios de Software, aprendizado de máquina, mineração de dados e textos (data and text mining, predictive analytics, data science).
"
"Mércia Pandolfo Provin
","Graduação em Farmácia e Bioquímica pela Universidade Estadual de Ponta Grossa (1989). Mestrado em Genética e Bioquímica pela Universidade Federal de Uberlândia (2003). Doutorado em Ciências da Saúde pela Universidade Federal de Goiás (2011). Atualmente é professora adjunto da Universidade Federal de Goiás. Tem experiência na área de Farmácia, com ênfase em Assistência Farmacêutica tanto na área assistencial quanto no ensino. Principais temas trabalhados: Direito a saúde e Assistência e Atenção farmacêutica.
"
"Rodrigo Mello Gomes
","Graduação em Educação Física pela Universidade Estadual de Maringá (2009). Mestrado (2011) e Doutorado (2014) em Ciências Biológicas (Área de concentração biologia celular e molecular) pela Universidade Estadual de Maringá. Pós-Doutorado em Fisiologia Endócrina e Metabolismo pela Universidade Estadual de Maringá (2011). Professor Adjunto do Departamento de Ciências Fisiológicas da Universidade Federal de Goiás. Possui experiência nas áreas de Fisiologia e Bioquímica. Atualmente é coordenador de projetos nos seguintes assuntos: mecanismos fisiopatológicos do diabetes e da obesidade, programação metabólica durante a gestação, lactação e puberdade e uso de biomoléculas no tratamento do diabetes e suas complicações. Sócio fundador e tesoureiro da Sociedade “Developmental Origins of Health and Disease” DOHaD Brasil.
"
"Camila Alves de Melo
","Professora do curso de Biblioteconomia da Universidade Federal de Goiás (UFG), na área de Fundamentos da Biblioteconomia nos contextos social, cultural e educacional. Doutora e Mestra em Educação pelo Programa de Pós-Graduação em Educação da Universidade Federal do Rio Grande do Sul (PPGEDU/UFRGS). Especialista em Literatura Infantil e Juvenil e em Práticas Educativas em Bibliotecas Escolares pela Universidade de Caxias do Sul (UCS). Licenciada em Pedagogia e Bacharela em Biblioteconomia pela UFRGS."
"Diego Basile Colugnati
","Professor Associado da Universidade Federal de Goiás, Departamento de Ciências Fisiológicas – ICB. Graduado em Fisioterapia pela Universidade Estadual Paulista Júlio de Mesquita Filho (2002). Mestre em Engenharia Biomédica pelo Núcleo de Pesquisas Tecnológicas (Universidade de Mogi das Cruzes -2005). Doutor em Ciências pela Universidade Federal de São Paulo, Escola Paulista de Medicina, pela disciplina de neurologia experimental (2009). Experiência na área de Fisiologia, com ênfase em Fisiologia de Órgãos e Sistemas, atuando principalmente nos seguintes temas: Sistema Nervoso, Sistema Cardiovascular, Morte Súbita e Inesperada na Epilepsia.
"
"Daniel Alves Rosa
","Professor Titular do Instituto de Ciências Biológicas (ICB) da Universidade Federal de Goiás – UFG. Coordenador do Curso de Pós-graduação Lato Sensu em Fisiologia Humana Aplicada às Ciências da Saúde. Membro participante do BRISA (Brazilian Reproducibility Initiative in preclinical Systematic review and meta-Analysis), uma rede brasileira de pesquisadores que oferece treinamento e fomenta o desenvolvimento de revisões sistemáticas e meta-análises colaborativas em ciência biomédica básica. Membro da Sociedade Brasileira de Fisiologia – SBFis. Possui experiência em fisiologia, com ênfase em fisiologia cardiovascular, ritmos circadianos e Sono.
"
"Claudio Andre Barbosa de Lira
","Graduação em Ciências Biológicas (Modalidade Médica) pela Universidade Federal de São Paulo-UNIFESP (2001). Especialização em Fisiologia do Exercício pela UNIFESP (2002). Mestrado (2004) e Doutorado em Ciências (2008) pelo Programa de Pós-graduação em Farmacologia (Laboratório de Fisiologia do Exercício do Departamento de Fisiologia) da UNIFESP. Realizou estágio pós-doutoral no Centro de Educação Física e Desportos da Universidade Federal do Espírito Santo (2018). Atualmente, é Professor Associado da Faculdade de Educação Física e Dança (FEFD) da UFG, onde atua em atividades de ensino, pesquisa e extensão. No âmbito da pós-graduação, atua como orientador do Programa de Pós-graduação em Ciências da Saúde da Faculdade de Medicina da UFG (mestrado e doutorado) e do Programa de Pós-graduação em Educação Física da FEFD-UFG (mestrado). É autor do livro “Fisiologia do Exercício” (1a. edição, Editora Manole, 2016). É coordenador do Projeto de Extensão FEFD Solidária, por meio do qual já foram doados mais de 1 tonelada de alimentos a entidades assistenciais localizadas no município de Goiânia (GO). De acordo com a base de dados Scopus, está entre os 10 professores com maior produção científica da história da UFG. Tem experiência na área de Fisiologia com ênfase na aplicação dos conceitos da Fisiologia do Exercício na saúde, doença e esporte de alto rendimento e na área de ensino de Ciências da Saúde com ênfase no ensino de Fisiologia Humana e do Exercício.
"
"Carlos Henrique Xavier
","Professor Associado no Departamento de Ciências Fisiológicas da Universidade Federal de Goiás (UFG) (2012-Atual). Bolsista Produtividade em Pesquisa do CNPq (nível 2, Comitê BF – 2019-atual). Mestre (2008) e Doutor (2012) em Ciências Biológicas (Fisiologia e Farmacologia) pela Universidade Federal de Minas Gerais, com períodos como Research Fellow na School of Biomedical Sciences and Pharmacy da University of Newcastle (Australia) em 2009 e no Department of Neurological Surgery da Oregon Health and Sciences University (USA) em 2011. Coordenador de Pesquisa do Instituto de Ciências Biológicas da UFG (2020-24). Membro da Câmara de Pesquisa e Pós-Graduação (CPPG) do Conselho de Ensino, Pesquisa, Extensão e Cultura (CEPEC) – CPPG/CEPEC UFG. Membro do Conselho (delegado da regional Centro-Oeste) da Sociedade Brasileira de Neurociências e Comportamento (SBNeC 2022-atual) e do Conselho Executivo Nacional da Sociedade Brasileira de Fisiologia (SBFis 2020-22). Coordenador do Laboratório de Neurobiologia de Sistemas do ICB-UFG. Docente permanente (2014-Atual) do Programa de Pós-graduação em Ciências Biológicas (ICB – UFG) (CAPES 5) nas áreas de concentração Fisiologia e Farmacologia. As linhas de pesquisa enfatizam Fisiologia/Farmacologia e Neurociências. Os principais projetos de pesquisa abordam: Avaliação pré-clínica dos efeitos centrais e periféricos de moléculas biologicamente ativas que possam atuar sobre diferentes órgãos e sistemas; Contribuições neuroendócrinas e autonômicas para o controle de diferentes órgãos e sistemas fisiológicos; Mecanismos envolvidos nas respostas fisiopatológicas em reações de defesa, com enfoque nas vias encefálicas que organizam a reatividade autonômica ao estresse emocional; Neurobiologia da interface autonômico-comportamental."
"Carlos Henrique de Castro
","Graduação em Fisioterapia, Mestre e Doutor em Ciências Biológicas – área de concentração em Fisiologia – pela Universidade Federal de Minas Gerais. Doutorado sanduíche na University of Ottawa, Canadá e Pós-doutorado na Universidade Federal de Minas Gerais. Atualmente é professor Associado na Universidade Federal de Goiás. Possui experiência na área de Fisiologia Humana com ênfase em Fisiologia Cardiovascular. Suas principais linhas de pesquisas são: Papel do sistema Renina-angiotensina no controle da função cardiovascular, Ação do Eixo ECA2/Angiotensina-(1-7)/Receptor Mas no desenvolvimento do remodelamento cardíaco fisiológico e patológico e Circulação coronariana.
"
"Manoel Francisco Biancardi
","Licenciatura e bacharelado em Ciências Biológicas pela Universidade Estadual Paulista (UNESP). Mestrado e Doutorado em Biologia Celular e Estrutural pela Universidade Estadual de Campinas (UNICAMP). Pós-doutorado na área de Ciências Biológicas pela Universidade Estadual de Campinas (UNICAMP). Atualmente é professor adjunto classe C junto ao Departamento de Histologia, Embriologia e Biologia Celular do Instituto de Ciências Biológicas da Universidade Federal de Goiás (UFG). Faz parte da equipe do Instituto Nacional de Ciência e Tecnologia em Fotônica Aplicada à Biologia Celular (INCT- INFABiC). Atua como coordenador do Laboratório de Biologia Celular Dinâmica (LaBCelDi) da UFG, Laboratório Associado Tipo II vinculado ao INCT-INFABiC. Corpo permanente do Programa de Pós-Graduação em Ciências Biológicas (PPGCB) da UFG, além de ser coordenador deste mesmo programa a partir de março de 2023. Possui experiência na área de Morfologia, com ênfase em Biologia Celular, Histologia e Biologia do Desenvolvimento, atuando principalmente nos seguintes temas da biologia da reprodução: Biologia dos sistemas urogenitais masculino e feminino; Ação de desreguladores endócrinos sobre a próstata; Organogênese prostática; Mecanismos de ação do TGFb1 sobre o desenvolvimento prostático e em modelos de cultura celular com células RWPE-1; Desenvolvimento e caracterização de lesões prostáticas em ratos espontaneamente hipertensos (SHR).
"
